Sample     Date      Resp
  53      Aug-87    0.093
  55      Aug-87    0.111
  54      Aug-87    0.143
  57      Aug-87    0.205
  56      Aug-87    0.224
  51      Jul-87    0.058
  52      Jul-87    0.081
  48      Jul-87    0.089
  49      Jul-87    0.106
  50      Jul-87    0.119
  68      Nov-87    0.050
  71      Nov-87    0.070
  70      Nov-87    0.080
  72      Nov-87    0.094
  69      Nov-87    0.114
  67      Oct-87    0.063
  63      Oct-87    0.065
  66      Oct-87    0.072
  65      Oct-87    0.086
  64      Oct-87    0.107
  61      Sep-87    0.080
  59      Sep-87    0.085
  62      Sep-87    0.121
  60      Sep-87    0.207
  58      Sep-87    0.274
  75      Dec-87    0.023
  76      Dec-87    0.052
  74      Dec-87    0.055
  73      Dec-87    0.069
  77      Dec-87    0.076
