"plantid" "pwidth" "plength"
74 16 46
50 16 52
39 14 40
95 13 46
76 15 41
110 16 41
90 16 44
143 16 51
133 15 50
41 17 44
103 15 41
63 17 45
48 13 40
104 15 44
111 15 54
10 18 37
79 18 43
98 16 42
82 16 51
87 18 42
34 18 42
147 13 47
24 13 38
36 15 47
55 14 45
116 15 47
60 17 36
71 16 48
139 16 41
131 15 40
44 18 54
140 18 43
15 15 45
122 16 40
85 15 46
94 16 48
101 18 44
17 13 56
32 18 44
23 17 52
7 16 37
53 16 42
138 18 48
83 17 44
29 16 45
129 14 48
91 17 45
8 14 47
54 18 37
40 16 37
