"plantid" "swidth" "slength"
74 29 58
50 29 53
39 30 62
95 29 64
76 25 57
110 33 62
90 27 62
143 27 61
133 26 57
41 26 56
103 26 55
63 24 60
48 28 61
104 29 62
111 29 63
10 24 62
79 28 53
98 27 50
82 30 58
87 28 61
34 31 60
147 27 57
24 31 57
36 26 60
55 29 54
116 29 65
60 29 65
71 27 61
139 28 61
131 31 50
44 31 58
140 25 62
15 35 49
122 25 61
85 30 55
94 28 58
101 25 58
17 33 65
32 29 68
23 27 64
7 25 55
53 28 54
138 28 58
83 27 64
29 31 68
129 32 59
91 29 57
8 33 62
54 31 59
40 23 64
