Sample     Date      Resp
  26      Feb-87    0.057
  23      Feb-87    0.085
  25      Feb-87    0.159
  27      Feb-87    0.266
  24      Feb-87    0.368
  19      Jan-87    0.074
  20      Jan-87    0.089
  22      Jan-87    0.117
  18      Jan-87    0.135
  21      Jan-87    0.287
  29      Mar-87    0.063
  32      Mar-87    0.064
  31      Mar-87    0.073
  30      Mar-87    0.074
  28      Mar-87    0.093
  41      May-87    0.092
  40      May-87    0.097
  38      May-87    0.178
  42      May-87    0.267
  39      May-87    0.302
  35      Apr-87    0.097
  34      Apr-87    0.105
  36      Apr-87    0.116
  33      Apr-87    0.176
  37      Apr-87    0.185
  45      Jun-87    0.043
  47      Jun-87    0.122
  44      Jun-87    0.175
  43      Jun-87    0.207
  46      Jun-87    0.523
