"plantid" "swidth" "slength"
77 36 53
49 38 56
150 42 49
21 41 53
86 41 53
145 28 51
117 43 52
1 38 53
22 38 49
72 35 59
148 31 51
69 35 56
59 23 48
123 28 48
112 31 52
47 27 53
97 36 53
25 35 40
102 41 46
80 40 44
46 40 50
92 38 52
18 23 50
142 36 55
89 44 59
99 27 57
11 33 54
118 30 61
84 46 50
120 32 49
88 30 50
13 18 49
4 39 54
30 32 51
106 46 46
14 41 53
73 37 55
70 38 54
66 31 49
65 29 54
124 36 54
114 40 56
33 35 59
96 26 54
81 44 48
132 35 52
27 37 52
134 35 59
19 43 49
136 35 49
